Inventory,Vin,Year,Make,Model,Trim,Interior Color,Exterior Color,Odometer Value,Odometer Units,Drivetrain,Transmission Type,Engine Type,MMR,Condition Report Grade,Seller Name,Facilitation Location,Pickup Location,Starts At,Ends At,Lane,Run,Bid Count,Bid Amount,Buy Now Price,Event Sale Name,Seller Comments,Status,Notes
Simulcast,5TDJKRFH7GS346358,2016,TOYOTA,"HIGHL XLE",XLE,Black,Silver,76328,mi,AWD,Automatic,"6 Cylinder",18450,3.6,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,136,,,,,,Live,
Simulcast,2C3CCABGXHH521534,2017,CHRYSLER,"300 S",300S,Black,Black,109719,mi,RWD,Automatic,"6 Cylinder",10050,3.2,"Premium Motor Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,118,,,,,,Live,
Simulcast,1FTEW1C58LFA22752,2020,FORD,XLT,XLT,Gray,Silver,134899,mi,RWD,Automatic,"8 Cylinder",11300,2.4,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,170,,,,,,Live,
Simulcast,WA1CFAFP7BA044865,2011,AUDI,"Q5 4C","2.0T PRM",,Blue,115250,mi,AWD,Automatic,"4 Cylinder Turbo",3700,,"Barack's Auto World Llc","Manheim Central Florida","FL - Orlando",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,64,,,,,,Preview,
Simulcast,4S4BSACC5F3221417,2015,SUBARU,"OUTBCK I PRM",PREMIUM,Beige,Blue,117368,mi,AWD,CVT,"4 Cylinder",6200,2.4,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,50,,,,,,Live,
Simulcast,19XFB2F88FE084582,2015,HONDA,"CIVIC EX",EX,Gray,Black,89830,mi,FWD,CVT,"4 Cylinder",9275,3.8,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,35,,,,,,Live,
Simulcast,1N4BL4CV1PN380970,2023,NISSAN,"2.5 SR","2.5 SR",Black,White,57152,mi,FWD,CVT,"4 Cylinder",16750,2.9,"Santander Consumer","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,12,171,,,,,,Live,
Simulcast,3C4PDCGB7HT676908,2017,DODGE,JOURNEY,"CROSSRD +",Black,White,92407,mi,FWD,Automatic,"4 Cylinder",6250,,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,100,,,,,,Live,
Simulcast,WBSFV9C56DD096280,2013,BMW,M5,,Red,Gray,113882,mi,RWD,CVT,"8 Cylinder Turbo",16550,2.4,"Bmw Of Mckinney","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,110,,,,,,Live,
Simulcast,JM3KFBBM2N1574773,2022,MAZDA,CX-5,"S SELECT",Black,Black,2981,mi,AWD,Automatic,"4 Cylinder",23800,5.0,"Autobahn 7 Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,130,,,,,,Live,
Simulcast,5UXTR7C57KLE98753,2019,BMW,"X3 30IS XLIN","30IS XLINE",Black,White,60518,mi,RWD,Automatic,"4 Cylinder Turbo",13750,1.9,"Bmw Of San Antonio","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,955,,,,,,Live,
Simulcast,WDDUG8CB9FA159309,2015,"MERCEDES B",S550V,S550,Beige,White,1,mi,RWD,Automatic,"8 Cylinder Turbo",17300,,"Sunshine Auto Mall Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,925,,,,,,Live,
Simulcast,3VVLX7B28NM031390,2022,VOLKSWAGEN,"TAOS SE FWD","SE FWD",Black,Red,69641,mi,FWD,Automatic,"4 Cylinder Turbo",14950,3.8,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,30,,,,,,Live,
Simulcast,2T2ZK1BA9AC017539,2010,LEXUS,"RX 350",,Black,Silver,171788,mi,2WD,Automatic,"6 Cylinder",7000,3.6,"Lexus Of Pembroke Pines","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,87,,,,,,Live,
Simulcast,WBA6A0C53ED317508,2014,BMW,"640I MSPT","640I MSPT",Black,Black,63918,mi,RWD,Automatic,"6 Cylinder Turbo",13600,,"Capital Auto Funding Llc","Manheim Central Florida","FL - Orlando",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,884,,,,,,Preview,
Simulcast,KNDME5C15G6125801,2016,KIA,"SEDON SX L",SX-L,Red,Red,139151,mi,FWD,Automatic,"6 Cylinder",3575,0.0,"Truist Bank","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,389,,,,,,Live,
Simulcast,5TFGY5F16KX252799,2019,TOYOTA,"1794 EDIT","1794 EDIT",Brown,White,99101,mi,RWD,Automatic,"8 Cylinder",,4.9,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,4,57,,,,,,Live,
Simulcast,2T3MWRFV1KW004340,2019,TOYOTA,"RAV4 AWD","HYBRID LE",Black,White,97641,mi,AWD,CVT,"4 Cylinder",18400,3.7,"Wheels Pc Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,16,,,,,,Live,
Simulcast,JTHAA1D29N5118236,2022,LEXUS,"IS 4X2 4C","IS 300",Black,Silver,14770,mi,RWD,Automatic,"4 Cylinder Turbo",31500,4.0,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,149,,,,,,Live,
Simulcast,1C3CCCAB9FN608265,2015,CHRYSLER,LIMITED,LIMITED,Black,White,108734,mi,FWD,Automatic,"4 Cylinder",3625,2.1,"Premium Motor Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,27,,,,,,Live,
Simulcast,1FADP3L90DL127396,2013,FORD,ST,ST,Black,Yellow,146971,mi,FWD,Manual,"4 Cylinder Turbo",3500,2.8,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,214,,,,,,Live,
Simulcast,2C3CCABG4NH136661,2022,CHRYSLER,"300 S",300S,Black,White,99459,mi,RWD,Automatic,"6 Cylinder",16500,3.9,"Auto Brokers Of Tampa Bay Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,8,74,,,,,,Live,
Simulcast,3C6TRVDG2EE122131,2014,RAM,"PROMAST 2500 V6",,Gray,White,156316,mi,FWD,Automatic,"6 Cylinder",6600,1.7,"Rmktg By Element/truck Town Usa","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,13,289,,,,,,Live,
Simulcast,2HKRM4H36GH657805,2016,HONDA,"CR V AWD",LX,Beige,Gray,130325,mi,AWD,CVT,"4 Cylinder",8000,2.4,"Motor Muze Auto Group Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,141,,,,,,Live,
Simulcast,1FTEX1CP2FKF18155,2015,FORD,"F150 4X2 EX",XL,Gray,Blue,56974,mi,RWD,Automatic,"6 Cylinder Turbo",14400,4.1,"City Style Imports Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,90,,,,,,Live,
Simulcast,1GCWGAFP2P1142841,2023,CHEVROLET,"G2500 CARGO V6",,Gray,White,27682,mi,RWD,Automatic,"6 Cylinder",26000,2.6,"U Haul Truck And Equipment Sales","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,1,77,,,,,,Live,
Simulcast,KM8K1CAA8KU297394,2019,HYUNDAI,"KONA SE",SE,Gray,Red,77227,mi,AWD,Automatic,"4 Cylinder",10700,3.9,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,238,,,,,,Live,
Simulcast,2G1WG5E31C1177891,2012,CHEVROLET,"IMP LT FLEET","LT FLEET",Gray,Red,157137,mi,FWD,Automatic,"6 Cylinder",1325,1.3,"Lexus Of Pembroke Pines","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,987,,,,,,Live,
Simulcast,1C4PJMLB5LD650620,2020,JEEP,"CHEROKEE 4X4 4C","LATITUDE +",Black,Blue,113963,mi,4WD,Automatic,"4 Cylinder",9925,,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,123,,,,,,Live,
Simulcast,JM1GL1WY6J1308827,2018,MAZDA,MAZDA6,"GR TRG RES",Beige,Silver,53702,mi,FWD,Automatic,"4 Cylinder Turbo",18200,,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,108,,,,,,Live,
Simulcast,1G1PE5SBXE7254981,2014,CHEVROLET,CRUZE,2LT,Beige,Blue,120295,mi,FWD,Automatic,"4 Cylinder Turbo",2850,,"Max Elite Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,125,,,,,,Live,
Simulcast,2C4RC1BG4PR553054,2023,CHRYSLER,"PAC TRG L","TOURING L",Black,Black,61369,mi,FWD,Automatic,"6 Cylinder",20900,4.2,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,136,,,,,,Live,
Simulcast,1G1ZD5ST0KF108188,2019,CHEVROLET,MALIBU,LT,Black,Blue,84715,mi,FWD,CVT,"4 Cylinder Turbo",10000,2.8,"Southwest Business Corporation","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,8,179,,,,,,Live,
Simulcast,YV1MS382962201552,2006,VOLVO,2.4L,2.4L,Black,Gray,160181,mi,2WD,Automatic,"5 Cylinder",1650,2.8,"Flex Rent A Car Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,889,,,,,,Live,
Simulcast,3KPF34ADXLE175961,2020,KIA,"FORTE GT LIN",GT-LINE,Black,Gray,86072,mi,FWD,CVT,"4 Cylinder",8125,1.9,"Orlando Kia West","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,8,,,,,,Live,
Simulcast,JM1DE1KY1E0173934,2014,MAZDA,"MAZDA2 SPT",SPORT,Black,Red,59010,mi,FWD,Automatic,"4 Cylinder",5550,3.7,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,12,,,,,,Live,
Simulcast,1FTBR1X87LKA56588,2020,FORD,"T250 EX CARG",,Gray,White,113604,mi,RWD,Automatic,"6 Cylinder",16400,2.1,"The Auto Market Sales & Services Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,39,,,,,,Live,
Simulcast,5XYPG4A37JG405035,2018,KIA,"SOREN LX",LX,Beige,Purple,77817,mi,FWD,Automatic,"4 Cylinder",10200,3.6,"Nissan Of Cape Coral","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,83,,,,,,Live,
Simulcast,1C4HJXDN7JW249845,2018,JEEP,"WRANG UNLTD 4C","SPORT S",Black,White,75205,mi,4WD,Automatic,"4 Cylinder Turbo",18000,4.1,"West Financial Acceptance Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,73,,,,,,Live,
Simulcast,JNRAS08W27X207272,2007,INFINITI,FX35,,Beige,Black,158942,mi,AWD,Automatic,"6 Cylinder",1525,,"Executive Motor Group","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,140,,,,,,Live,
Simulcast,1GTW7AFP1P1138781,2023,GMC,"G2500 CARGO V6",,Gray,White,36512,mi,RWD,Automatic,"6 Cylinder",27800,3.5,"U Haul Truck And Equipment Sales","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,1,88,,,,,,Live,
Simulcast,5YFEPMAE3MP261699,2021,TOYOTA,"COR LE",LE,Gray,Black,36004,mi,FWD,CVT,"4 Cylinder",13650,1.9,"Florida Financial Acceptance Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,156,,,,,,Live,
Simulcast,JA4APVAU7MU035612,2021,MITSUBISHI,"OUTLAND SPT FWD",SE,Black,Brown,83956,mi,FWD,CVT,"4 Cylinder",10650,4.3,"Citybuy Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,76,,,,,,Live,
Simulcast,JALC4W160F7002840,2015,IZUSU,"NPR HD",,,White,207559,mi,2WD,Automatic,"4 Cylinder Turbo",,2.0,"American Funding Trust","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,9,228,,,,,,Live,
Simulcast,1FTEW1C43LFA50708,2020,FORD,XLT,XLT,Beige,Gray,107169,mi,RWD,Automatic,"6 Cylinder Turbo",18650,4.5,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,163,,,,,,Live,
Simulcast,3C4NJDCNXRT125475,2024,JEEP,COMPASS,LIMITED,Black,Silver,13942,mi,4WD,Automatic,"4 Cylinder Turbo",25800,4.2,"Meridian Remarketing","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:00:00Z,2025-04-10T03:59:59Z,12,268,,,,,,Live,
Simulcast,JM1BL1SF5A1222553,2010,MAZDA,"I TOURING","I TOURING",Beige,Red,156519,mi,FWD,Manual,"4 Cylinder",1925,2.1,"Greenlite Motors Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,129,,,,,,Live,
Simulcast,3FA6P0G71HR235288,2017,FORD,S,S,Gray,White,90396,mi,FWD,Automatic,"4 Cylinder",4025,1.3,"Global Premium Motors","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,145,,,,,,Live,
Simulcast,5NMZU3LB8HH026917,2017,HYUNDAI,"SANTA SP 2.4",2.4L,Beige,White,100490,mi,FWD,Automatic,"4 Cylinder",8525,,"Zimmerman Auto Brokers Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,150,,,,,,Live,
Simulcast,7SAXCAE50NF358324,2022,TESLA,"MOD X",,Black,Red,49197,mi,AWD,Automatic,Electric,43200,4.0,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,34,,,,,,Live,
Simulcast,WMWZC3C54EWP28459,2014,MINI,S,S,Black,Silver,112706,mi,FWD,Automatic,"4 Cylinder Turbo",3500,0.0,"Consumer Portfolio Services","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T12:30:00Z,2025-04-10T03:59:59Z,97,457,,,,,,Live,
Simulcast,3CZRM3H54GG715845,2016,HONDA,EX,EX,Gray,Blue,119916,mi,FWD,CVT,"4 Cylinder",9075,2.4,"Pines Auto Brokers","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,5,49,,,,,,Live,
Simulcast,3C4NJDDB6KT739580,2019,JEEP,"COMP TRLHWK",TRAILHAWK,Red,White,78586,mi,4WD,Automatic,"4 Cylinder",13300,4.3,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,113,,,,,,Live,
Simulcast,KNDJP3A56G7332750,2016,KIA,SOUL,+,Black,Blue,52393,mi,FWD,Automatic,"4 Cylinder",8975,4.1,"American Fleet Solutions","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,2,118,,,,,,Live,
Simulcast,KL8CD6SA9LC439803,2020,CHEVROLET,LT,LT,Black,White,86037,mi,FWD,CVT,"4 Cylinder",6075,,"Eccentric Cars Co","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,120,,,,,,Live,
Simulcast,1N4AL3AP2JC195064,2018,NISSAN,"ALT 2.5 SV","2.5 SV",Beige,Black,97398,mi,FWD,CVT,"4 Cylinder",7750,3.4,"Knight Motor Company Llc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:15:00Z,2025-04-10T03:59:59Z,3,117,,,,,,Live,
Simulcast,1GNERFKW8KJ112551,2019,CHEVROLET,"TRAV LS",LS,Black,Black,130943,mi,FWD,Automatic,"6 Cylinder",8375,,"Atlantic Auto Import Corp","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,7,165,,,,,,Live,
Simulcast,1GNERKKW6JJ262987,2018,CHEVROLET,"TRAV PRMR",PREMIER,Black,Silver,100123,mi,FWD,Automatic,"6 Cylinder",17050,4.9,"Auto Brokers Of Tampa Bay Inc","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,8,68,,,,,,Live,
Simulcast,5XYPGDA50KG597207,2019,KIA,"SORENTO AWD V6","S V6",Black,White,68648,mi,AWD,Automatic,"6 Cylinder",12400,4.4,"Greenway Kia At The Avenues","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:10:00Z,2025-04-10T03:59:59Z,6,4,,,,,,Live,
Simulcast,5TDKK3DC4BS022219,2011,TOYOTA,LE,LE,Gray,White,213331,mi,FWD,Automatic,"6 Cylinder",4925,4.5,"American Financial","Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,11,174,,,,,,Live,
Simulcast,2C3CDXBG7KH657028,2019,DODGE,"CHARGER SXT",SXT,Black,Silver,111669,mi,RWD,Automatic,"6 Cylinder",9825,2.7,Fleet.go,"Manheim Central Florida","FL - Manheim Central Florida",2025-04-09T13:05:00Z,2025-04-10T03:59:59Z,10,125,,,,,,Live,
